epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.985,1.92504,6.01432,2.24711,0.62023,0.10005,0.05557,0.01861,2.6652,3.9568,2.60932,0.0004125,0.0004125,0.0004125
2,169.848,1.96241,2.59334,2.34751,0.31132,0.14463,0.05214,0.01201,2.76241,4.08501,2.91441,0.000823694,0.000823694,0.000823694
3,237.42,2.02454,2.59787,2.42417,0.32618,0.08021,0.02589,0.00478,3.30843,4.22085,3.34268,0.00122939,0.00122939,0.00122939
4,303.86,1.95714,2.64263,2.41447,0.30233,0.10398,0.03305,0.00922,2.75766,4.4271,3.09664,0.00122525,0.00122525,0.00122525
5,371.931,1.94718,2.58898,2.37626,0.33673,0.12633,0.05784,0.01453,2.88499,5.57417,3.14501,0.001217,0.001217,0.001217
6,439.787,1.82266,2.52147,2.30723,0.10166,0.08477,0.04525,0.01186,3.03036,3.95997,2.99922,0.00120875,0.00120875,0.00120875
7,506.112,1.84385,2.50377,2.33156,0.38715,0.10739,0.09099,0.032,2.7691,3.8382,2.93828,0.0012005,0.0012005,0.0012005
8,575.4,1.80825,2.50723,2.27854,0.38626,0.12785,0.0867,0.02958,2.82971,3.42373,3.12752,0.00119225,0.00119225,0.00119225
9,641.729,1.75961,2.30702,2.24614,0.33689,0.07696,0.0494,0.01176,2.98336,3.59119,3.33591,0.001184,0.001184,0.001184
10,708.681,1.81188,2.383,2.27171,0.39599,0.13212,0.09361,0.03095,2.86366,3.36933,3.16626,0.00117575,0.00117575,0.00117575
11,776.599,1.78395,2.3393,2.26658,0.39926,0.13249,0.09979,0.03337,2.59898,3.39276,2.71713,0.0011675,0.0011675,0.0011675
12,846.879,1.77788,2.34553,2.23279,0.41018,0.12463,0.11712,0.03619,2.6816,3.15984,2.852,0.00115925,0.00115925,0.00115925
13,916.095,1.72316,2.23615,2.23471,0.40231,0.12,0.08801,0.03036,2.74462,3.42975,2.89907,0.001151,0.001151,0.001151
14,983.947,1.7346,2.2357,2.20432,0.40274,0.12955,0.10984,0.04129,2.71719,3.1315,2.84455,0.00114275,0.00114275,0.00114275
15,1053.27,1.71644,2.13959,2.19924,0.38913,0.12756,0.11875,0.04422,2.67921,3.11188,2.82218,0.0011345,0.0011345,0.0011345
16,1121.37,1.63855,2.12382,2.12296,0.45955,0.14623,0.14297,0.0432,2.73802,3.14303,2.89988,0.00112625,0.00112625,0.00112625
17,1187.79,1.66782,2.07935,2.11945,0.43676,0.12956,0.11703,0.03422,2.73555,2.99469,2.9904,0.001118,0.001118,0.001118
18,1255.03,1.64929,2.02247,2.10677,0.43311,0.13703,0.10846,0.03504,2.84354,3.15517,3.1196,0.00110975,0.00110975,0.00110975
19,1321.04,1.62225,2.01337,2.09895,0.20674,0.10655,0.08103,0.02469,2.86484,3.62408,3.01621,0.0011015,0.0011015,0.0011015
20,1389.07,1.58912,1.96528,2.09095,0.46229,0.09717,0.11165,0.03615,2.72028,3.46995,2.87272,0.00109325,0.00109325,0.00109325
21,1455.8,1.61739,2.0204,2.09599,0.11561,0.1092,0.09402,0.03074,2.76965,3.39086,2.8776,0.001085,0.001085,0.001085
22,1521.98,1.58455,1.90934,2.05689,0.38549,0.15648,0.11594,0.03566,2.75162,3.06504,2.99798,0.00107675,0.00107675,0.00107675
23,1588.24,1.55992,1.99534,2.04698,0.4368,0.13695,0.12807,0.05051,2.45357,3.1153,2.50425,0.0010685,0.0010685,0.0010685
24,1658.63,1.58361,1.86697,2.07048,0.38335,0.18317,0.14748,0.05413,2.48947,3.05308,2.61922,0.00106025,0.00106025,0.00106025
25,1729.6,1.54254,1.83238,2.01741,0.56158,0.19425,0.17111,0.06161,2.52074,3.0203,2.64986,0.001052,0.001052,0.001052
26,1797.95,1.51573,1.7847,2.01801,0.24797,0.18808,0.1478,0.0474,2.6169,3.07238,2.88399,0.00104375,0.00104375,0.00104375
27,1863.49,1.53126,1.7963,2.00986,0.42892,0.14272,0.13024,0.05437,2.57478,3.12277,2.73735,0.0010355,0.0010355,0.0010355
28,1929.44,1.49924,1.76302,2.01302,0.42018,0.1718,0.13539,0.04765,2.57223,2.9863,2.79134,0.00102725,0.00102725,0.00102725
29,1996.33,1.49233,1.7574,2.01349,0.75377,0.19845,0.18497,0.06887,2.42369,2.88038,2.56349,0.001019,0.001019,0.001019
30,2065.92,1.45498,1.73146,1.95268,0.39923,0.14888,0.11272,0.02939,2.80527,3.51596,3.14102,0.00101075,0.00101075,0.00101075
31,2131.8,1.45106,1.66358,1.9491,0.45985,0.21081,0.16612,0.06226,2.57249,2.7507,2.83793,0.0010025,0.0010025,0.0010025
32,2197.59,1.46385,1.68791,1.94281,0.52396,0.13119,0.12543,0.04601,2.59048,3.39474,2.80392,0.00099425,0.00099425,0.00099425
33,2263.51,1.46171,1.60329,1.96952,0.39606,0.18269,0.1145,0.03686,2.88463,2.92532,3.0933,0.000986,0.000986,0.000986
34,2331.01,1.45653,1.65219,1.98821,0.49978,0.25055,0.21371,0.08391,2.40966,2.66386,2.5166,0.00097775,0.00097775,0.00097775
35,2398.94,1.48012,1.68146,1.95758,0.52756,0.19425,0.14857,0.05135,2.56645,3.01441,2.74268,0.0009695,0.0009695,0.0009695
36,2465.85,1.44915,1.65615,1.93869,0.50429,0.17758,0.1822,0.07028,2.44707,2.90929,2.5872,0.00096125,0.00096125,0.00096125
